tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2024,43.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Paraguay,Wikipedia
2024,33.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Peru,Wikipedia
2024,56.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Philippines,Wikipedia
2024,55.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Poland,Wikipedia
2024,94.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Portugal,Wikipedia
2024,17.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Puerto Rico,Wikipedia
2024,37.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Qatar,Wikipedia
2024,53.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Romania,Wikipedia
2024,20.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Russia,Wikipedia
2024,69.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Rwanda,Wikipedia
2024,51.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Saint Kitts and Nevis,Wikipedia
2024,75.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Saint Lucia,Wikipedia
2024,87.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Saint Vincent and the Grenadines,Wikipedia
2024,29.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Samoa,Wikipedia
2024,68.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,San Marino,Wikipedia
2024,42.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,São Tomé and Príncipe,Wikipedia
2024,27.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Saudi Arabia,Wikipedia
2024,72.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Senegal,Wikipedia
2024,49.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Serbia,Wikipedia
2024,58.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Seychelles,Wikipedia
2024,69.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Sierra Leone,Wikipedia
2024,175.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Singapore,Wikipedia
2024,59.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Slovakia,Wikipedia
2024,67.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Slovenia,Wikipedia
2024,19.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Solomon Islands,Wikipedia
2024,75.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,South Africa,Wikipedia
2024,48.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,South Sudan,Wikipedia
2024,106.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Spain,Wikipedia
2024,344.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Sudan,Wikipedia
2024,87.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Suriname,Wikipedia
2024,36.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Sweden,Wikipedia
2024,36.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Switzerland,Wikipedia
2024,22.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Taiwan,Wikipedia
2024,30.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Tajikistan,Wikipedia
2024,46.1,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Tanzania,Wikipedia
2024,64.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Thailand,Wikipedia
2024,14.2,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Timor-Leste,Wikipedia
